Account ID,Account Name,Instance ID,Instance Type,OS,Region,Running Hours,RI Hours,OD Hours, CPU Utilization ,Memory Utilization,Disk Utilization,Recommended Action,Recommended Instance Type 1, Recommended Instance Type 1 Estimated Savings , Recommended Instance Type 1 Projected CPU ,Recommended Instance Type 1 Projected Memory,Recommended Instance Type 1 Projected Disk,Recommended Instance Type 2, Recommended Instance Type 2 Estimated Savings , Recommended Instance Type 2 Projected CPU ,Recommended Instance Type 2 Projected Memory,Recommended Instance Type 2 Projected Disk,Recommended Instance Type 3, Recommended Instance Type 3 Estimated Savings , Recommended Instance Type 3 Projected CPU ,Recommended Instance Type 3 Projected Memory,Recommended Instance Type 3 Projected Disk
836000000000,WA Cost Labs,i-012743,r4.8xlarge,Linux/UNIX,US East (N. Virginia),330,330,0, 38.31 ,,,Modify,r4.4xlarge, $-   , 76.61 ,,,,,,,,,,,,
836000000000,WA Cost Labs,i-012759,t3.micro,Linux/UNIX,EU (Frankfurt),1.539167,0,1.539167, 35.00 ,,,Modify,t3.nano, $0.02 , 35.00 ,,,,,,,,,,,,
836000000000,WA Cost Labs,i-012775,t1.micro,Linux/UNIX,US East (N. Virginia),0.28,0,0.28, 1.00 ,,,Terminate,, $0.01 ,,,,,,,,,,,,,
836000000000,WA Cost Labs,i-012793,c4.4xlarge,Linux/UNIX,EU (Ireland),0.116944,0,0.116944, 5.20 ,,,Modify,c4.2xlarge, $0.11 , 10.40 ,,,c4.large, $0.20 , 41.58 ,,,c4.xlarge, $0.17 , 20.79 ,,
836000000000,WA Cost Labs,i-012797,t3.medium,Linux/UNIX,US East (N. Virginia),322.996944,322.996944,0, 5.00 ,,,Modify,t3.small, $-   , 5.00 ,,,t3.nano, $-   , 5.00 ,,,t3.micro, $-   , 5.00 ,,
836000000000,WA Cost Labs,i-012821,c4.4xlarge,Linux/UNIX,EU (Ireland),0.233333,0,0.233333, 15.75 ,,,Modify,c4.2xlarge, $0.23 , 31.50 ,,,c4.xlarge, $0.34 , 63.00 ,,,,,,,
836000000000,WA Cost Labs,i-012864,t1.micro,Linux/UNIX,US East (N. Virginia),0.28,0,0.28, 0.83 ,,,Terminate,, $0.01 ,,,,,,,,,,,,,
836000000000,WA Cost Labs,i-012952,c4.4xlarge,Linux/UNIX,EU (Ireland),0.107222,0,0.107222, 5.96 ,,,Modify,c4.2xlarge, $0.11 , 11.93 ,,,c4.large, $0.18 , 47.71 ,,,c4.xlarge, $0.16 , 23.86 ,,
836000000000,WA Cost Labs,i-012963,r4.8xlarge,Linux/UNIX,EU (Ireland),330,324.5,5.5, 17.14 ,,,Modify,r4.4xlarge, $14.17 , 34.28 ,,,r4.2xlarge, $21.25 , 68.56 ,,,,,,,
836000000000,WA Cost Labs,i-01298,c4.4xlarge,Linux/UNIX,EU (Ireland),0.240278,0,0.240278, 19.44 ,,,Modify,c4.2xlarge, $0.24 , 38.88 ,,,c4.xlarge, $0.35 , 77.75 ,,,,,,,
836000000000,WA Cost Labs,i-013020,c4.4xlarge,Linux/UNIX,EU (Ireland),0.420278,0,0.420278, 7.47 ,,,Modify,c4.2xlarge, $0.41 , 14.94 ,,,c4.large, $0.72 , 59.75 ,,,c4.xlarge, $0.62 , 29.87 ,,
836000000000,WA Cost Labs,i-013106,c4.4xlarge,Linux/UNIX,EU (Ireland),0.33,0,0.33, 10.65 ,,,Modify,c4.2xlarge, $0.32 , 21.29 ,,,c4.xlarge, $0.49 , 42.58 ,,,,,,,
836000000000,WA Cost Labs,i-01313,t1.micro,Linux/UNIX,US East (N. Virginia),0.279722,0,0.279722, 0.83 ,,,Terminate,, $0.01 ,,,,,,,,,,,,,
836000000000,WA Cost Labs,i-013133,m5.2xlarge,Red Hat Enterprise Linux,US East (N. Virginia),329,0,329, 15.00 ,,,Modify,m5.xlarge, $187.28 , 30.00 ,,,m5.large, $255.90 , 60.00 ,,,,,,,
836000000000,WA Cost Labs,i-013139,t3.small,Linux/UNIX,EU (Frankfurt),330,0,330, 20.00 ,,,Modify,t3.micro, $8.60 , 20.00 ,,,t3.nano, $12.91 , 20.00 ,,,,,,,
